Subscriber_id,Subscription_duration,Monthly_subscription_fee,Subscription_plan,Payment_method,Total_revenue,Subscription_cancelled,Status,Revenue_lost
7590-VHVIUA,1,29.85,Month-to-month,Electronic check,29.85,No,Active,0
5575-GNVDE,34,56.95,One year,Mailed check,1889.5,No,Active,0
3668-QPYBK,2,53.85,Month-to-month,Mailed check,108.15,Yes,Churned,53.85
7795-CFOCW,45,42.30,One year,Bank transfer (automatic),1840.75,No,Active,0
9237-HQITU,2,70.70,Month-to-month,Electronic check,151.65,Yes,Churned,70.70
9305-CDSKC,8,99.65,Month-to-month,Electronic check,820.5,Yes,Churned,99.65
1452-KIOVK,22,89.10,Month-to-month,Credit card (automatic),1949.4,No,Active,0
6713-OKOMC,10,29.75,Month-to-month,Mailed check,301.9,No,Active,0
7892-POOKP,28,104.80,Month-to-month,Electronic check,3046.05,Yes,Churned,104.80
6388-TABGU,62,56.15,One year,Bank transfer (automatic),3487.95,No,Active,0
9763-GRSKD,13,49.95,Month-to-month,Mailed check,587.45,No,Active,0
7469-LKBCI,16,18.95,Two year,Credit card (automatic),326.8,No,Active,0
8091-TTVAX,58,100.35,One year,Credit card (automatic),5681.1,No,Active,0
0280-XJGEX,49,103.70,Month-to-month,Bank transfer (automatic),5036.3,Yes,Churned,103.70
5129-JLPIS,25,105.50,Month-to-month,Electronic check,2686.05,No,Active,0
3655-SNQYZ,69,113.25,Two year,Credit card (automatic),7895.15,No,Active,0
8191-XWSZG,52,20.65,One year,Mailed check,1022.95,No,Active,0
9959-WOFKT,71,106.70,Two year,Bank transfer (automatic),7382.25,No,Active,0
4190-MFLUW,10,55.20,Month-to-month,Credit card (automatic),528.35,Yes,Churned,55.20
4183-MYFRB,21,90.05,Month-to-month,Electronic check,1862.9,No,Active,0
8779-QRDMV,1,39.65,Month-to-month,Electronic check,39.65,Yes,Churned,39.65
1680-VDCWW,12,19.80,One year,Bank transfer (automatic),202.25,No,Active,0
1066-JKSGK,1,20.15,Month-to-month,Mailed check,20.15,Yes,Churned,20.15
3638-WEABW,58,59.90,Two year,Credit card (automatic),3505.1,No,Active,0
6322-HRPFA,49,59.60,Month-to-month,Credit card (automatic),2970.3,No,Active,0
6865-JZNKO,30,55.30,Month-to-month,Bank transfer (automatic),1530.6,No,Active,0
6467-CHFZW,47,99.35,Month-to-month,Electronic check,4749.15,Yes,Churned,99.35
8665-UTDHZ,1,30.20,Month-to-month,Electronic check,30.2,Yes,Churned,30.20
5248-YGIJN,72,90.25,Two year,Credit card (automatic),6369.45,No,Active,0
8773-HHUOZ,17,64.70,Month-to-month,Mailed check,1093.1,Yes,Churned,64.70
3841-NFECX,71,96.35,Two year,Credit card (automatic),6766.95,No,Active,0
4929-XIHVW,2,95.50,Month-to-month,Credit card (automatic),181.65,No,Active,0
6827-IEAUQ,27,66.15,One year,Mailed check,1874.45,No,Active,0
7310-EGVHZ,1,20.20,Month-to-month,Bank transfer (automatic),20.2,No,Active,0
3413-BMNZE,1,45.25,Month-to-month,Bank transfer (automatic),45.25,No,Active,0
6234-RAAPL,72,99.90,Two year,Bank transfer (automatic),7251.7,No,Active,0
6047-YHPVI,5,69.70,Month-to-month,Electronic check,316.9,Yes,Churned,69.70
6572-ADKRS,46,74.80,Month-to-month,Credit card (automatic),3548.3,No,Active,0
5380-WJKOV,34,106.35,Month-to-month,Electronic check,3549.25,Yes,Churned,106.35
8168-UQWWF,11,97.85,Month-to-month,Bank transfer (automatic),1105.4,Yes,Churned,97.85
8865-TNMNX,10,49.55,One year,Mailed check,475.7,No,Active,0
9489-DEDVP,70,69.20,Two year,Credit card (automatic),4872.35,No,Active,0
9867-JCZSP,17,20.75,One year,Mailed check,418.25,No,Active,0
4671-VJLCL,63,79.85,Two year,Credit card (automatic),4861.45,No,Active,0
4080-IIARD,13,76.20,Month-to-month,Electronic check,981.45,No,Active,0
3714-NTNFO,49,84.50,Month-to-month,Electronic check,3906.7,No,Active,0
5948-UJZLF,2,49.25,Month-to-month,Mailed check,97,No,Active,0
7760-OYPDY,2,80.65,Month-to-month,Electronic check,144.15,Yes,Churned,80.65
7639-LIAYI,52,79.75,Two year,Credit card (automatic),4217.8,No,Active,0
2954-PIBKO,69,64.15,Two year,Credit card (automatic),4254.1,No,Active,0
8012-SOUDQ,43,90.25,Month-to-month,Electronic check,3838.75,No,Active,0
9420-LOJKX,15,99.10,Month-to-month,Credit card (automatic),1426.4,Yes,Churned,99.10
6575-SUVOI,25,69.50,Month-to-month,Credit card (automatic),1752.65,No,Active,0
7495-OOKFY,8,80.65,Month-to-month,Credit card (automatic),633.3,Yes,Churned,80.65
4667-QONEA,60,74.85,One year,Credit card (automatic),4456.35,No,Active,0
1658-BYGOY,18,95.45,Month-to-month,Electronic check,1752.55,Yes,Churned,95.45
8769-KKTPH,63,99.65,One year,Credit card (automatic),6311.2,No,Active,0
5067-XJQFU,66,108.45,One year,Electronic check,7076.35,No,Active,0
3957-SQXML,34,24.95,Two year,Credit card (automatic),894.3,No,Active,0
5954-BDFSG,72,107.50,Two year,Credit card (automatic),7853.7,No,Active,0
0434-CSFON,47,100.50,Month-to-month,Electronic check,4707.1,No,Active,0
1215-FIGMP,60,89.90,Month-to-month,Bank transfer (automatic),5450.7,No,Active,0
0526-SXDJP,72,42.10,Two year,Bank transfer (automatic),2962,No,Active,0
0557-ASKVU,18,54.40,One year,Credit card (automatic),957.1,No,Active,0
5698-BQJOH,9,94.40,Month-to-month,Electronic check,857.25,Yes,Churned,94.40
5122-CYFXA,3,75.30,Month-to-month,Electronic check,244.1,No,Active,0
8627-ZYGSZ,47,78.90,One year,Electronic check,3650.35,No,Active,0
3410-YOQBQ,31,79.20,Two year,Mailed check,2497.2,No,Active,0
3170-NMYVV,50,20.15,Two year,Bank transfer (automatic),930.9,No,Active,0
7410-OIEDU,10,79.85,Month-to-month,Mailed check,887.35,No,Active,0
2273-QCKXA,1,49.05,Month-to-month,Mailed check,49.05,No,Active,0
